tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0199007	movie	Secret Pleasures	Secret Pleasures	0	2002	\N	90	Drama,Romance
tt0244751	movie	Rainbow Stories	Rainbow Stories	0	1997	\N	90	\N
tt0219486	videoGame	Aladdin: Fate of Agrabah	Aladdin: Fate of Agrabah	0	1996	\N	\N	\N
tt0254362	short	Go to Shanghai	Go to Shanghai	0	1999	\N	15	Documentary,Short
tt0089638	tvMovie	Murder Among Friends	Murder Among Friends	0	1985	\N	\N	Drama
tt0255765	tvSeries	Bailey's Bird	Bailey's Bird	0	1977	\N	25	Adventure,Drama
tt0158640	tvMiniSeries	The Golden Land	The Golden Land	0	1984	\N	150	\N
tt0127765	movie	Romance and Rustlers	Romance and Rustlers	0	1925	\N	\N	Drama,Romance,Western
tt0158806	short	The Most Beautiful Suicide	The Most Beautiful Suicide	0	1989	\N	\N	Short
tt0235793	short	Street Scene in Hong Kong	Street Scene in Hong Kong	0	1898	\N	\N	Documentary,Short
tt0155657	movie	Delphine	Delphine	0	1969	\N	85	Drama
tt0208291	movie	Meng zai Sha mei miao zhen tan	Meng zai Sha mei miao zhen tan	0	1979	\N	\N	Thriller
tt0073321	movie	La lunga strada senza polvere	La lunga strada senza polvere	0	1977	\N	92	Drama,Mystery
tt0198148	tvSeries	I'll Buy That	I'll Buy That	0	1953	1954	30	Family,Game-Show
tt0133962	tvMovie	Men of Crisis: The Harvey Wallinger Story	Men of Crisis: The Harvey Wallinger Story	0	1972	\N	25	Comedy
tt0102783	movie	Revenge of Billy the Kid	Revenge of Billy the Kid	0	1991	\N	87	Comedy,Fantasy,Horror
tt0032568	movie	Hans nåds testamente	Hans nåds testamente	0	1940	\N	92	Comedy
tt0086867	movie	Alabama	Alabama	0	1985	\N	90	Drama
tt0098591	tvEpisode	Brennende Lieb'	Brennende Lieb'	0	1989	\N	116	Drama
tt0123652	movie	Chained Girls	Chained Girls	0	1965	\N	65	Documentary
tt0051729	movie	Historias de Madrid	Historias de Madrid	0	1958	\N	90	Comedy
tt0086216	movie	Rumble Fish	Rumble Fish	0	1983	\N	94	Crime,Drama,Romance
tt0163588	short	A Complete Change	A Complete Change	0	1920	\N	\N	Comedy,Short
tt0232605	short	A Search for Evidence	A Search for Evidence	0	1903	\N	3	Comedy,Short
tt0244997	short	Behind Closed Doors: The Dark Legacy of the Johns Committee	Behind Closed Doors: The Dark Legacy of the Johns Committee	0	2000	\N	28	Documentary,Short
tt0199601	movie	Hochwürden drückt ein Auge zu	Hochwürden drückt ein Auge zu	0	1971	\N	90	Comedy
tt0156869	movie	Paradhin	Paradhin	0	1956	\N	\N	Drama
tt0016331	movie	Settled Out of Court	Settled Out of Court	0	1925	\N	90	Drama
